year,quarter,market,dur_stay,mode,purpose,area,Visits (000s),Spend (£m),Nights (000s),sample
2002,January-March,Belgium,1-3  nights,Air,Holiday,SCOTLAND,0.71994698,0.244437993,1.439890027,1
2002,January-March,Belgium,1-3  nights,Sea,Business,SCOTLAND,1.648669958,0.124240004,1.650300026,1
2002,January-March,Belgium,4-7  nights,Sea,Holiday,SCOTLAND,1.714820027,0.593173027,4.959300041,1
2002,January-March,Belgium,4-7  nights,Sea,Business,SCOTLAND,0.399587005,0.0501865,2.399889946,1
2002,January-March,Belgium,15+  nights,Tunnel,Holiday,SCOTLAND,1.336770058,0.268112004,27.0618,1
2002,January-March,France,1-3  nights,Sea,Miscellaneous,SCOTLAND,1.097939968,0.165526003,2.195869923,1
2002,January-March,France,1-3  nights,Tunnel,Business,SCOTLAND,0.491742015,0.049383301,0.489885986,1
2002,January-March,France,4-7  nights,Air,VFR,SCOTLAND,0.776609004,0.831333995,3.019949913,1
2002,January-March,France,4-7  nights,Air,Miscellaneous,SCOTLAND,0.732477009,0.176276997,2.796900034,1
2002,January-March,France,4-7  nights,Sea,Holiday,SCOTLAND,4.505720139,0.467262,8.912859917,1
2002,January-March,France,4-7  nights,Tunnel,VFR,SCOTLAND,0.52354002,0.153500006,2.160700083,1
2002,January-March,France,8-14 nights,Air,VFR,SCOTLAND,1.495774031,0.283337004,16.7494998,2
2002,January-March,France,8-14 nights,Sea,Miscellaneous,SCOTLAND,0.968789995,0.0973702,8.719109535,1
2002,January-March,France,8-14 nights,Tunnel,VFR,SCOTLAND,0.545704007,0.049156301,4.504350185,1
2002,January-March,France,15+  nights,Air,VFR,SCOTLAND,0.570877016,0.0538752,1.664950013,1
2002,January-March,France,15+  nights,Sea,VFR,SCOTLAND,1.175780058,0,25.47590065,1
2002,January-March,France,15+  nights,Tunnel,VFR,SCOTLAND,0.52354002,0.114951998,9.72315979,1
2002,January-March,Germany,1-3  nights,Air,Business,SCOTLAND,1.841539979,0.367405504,3.927845955,4
2002,January-March,Germany,1-3  nights,Air,VFR,SCOTLAND,1.41672495,0.264980003,2.849378884,2
2002,January-March,Germany,4-7  nights,Air,VFR,SCOTLAND,1.149877965,0.205297193,8.094420075,2
2002,January-March,Germany,4-7  nights,Sea,Business,SCOTLAND,0.422046989,0.295792013,0.851324022,1
2002,January-March,Germany,4-7  nights,Sea,VFR,SCOTLAND,0.393027991,0,1.95510006,1
2002,January-March,Germany,8-14 nights,Air,VFR,SCOTLAND,1.18581599,0.1942642,13.19091207,2
2002,January-March,Germany,8-14 nights,Sea,Holiday,SCOTLAND,0.778491974,0.039933499,7.006430149,1
2002,January-March,Germany,8-14 nights,Sea,VFR,SCOTLAND,0.393027991,0,5.474279881,1
2002,January-March,Germany,15+  nights,Air,VFR,SCOTLAND,2.30853194,1.072315007,57.19099998,3
2002,January-March,Germany,15+  nights,Sea,VFR,SCOTLAND,0.393027991,0,4.30121994,1
2002,January-March,Germany,15+  nights,Tunnel,VFR,SCOTLAND,1.264109969,0.504052997,15.09179974,1
2002,January-March,Italy,1-3  nights,Air,Business,SCOTLAND,0.414245009,0.057579398,0.410742015,1
2002,January-March,Italy,1-3  nights,Air,Miscellaneous,SCOTLAND,0.749665022,0.067150697,0.70647198,1
2002,January-March,Italy,1-3  nights,Sea,Business,SCOTLAND,1.605999947,0.00811434,1.605999947,1
2002,January-March,Italy,8-14 nights,Air,VFR,SCOTLAND,0.729617,0.201067999,6.898779869,2
2002,January-March,Italy,15+  nights,Air,Holiday,SCOTLAND,0.287223011,0.117486998,4.809110165,1
2002,January-March,Italy,15+  nights,Sea,Business,SCOTLAND,0.778491974,0.021737101,2.335479975,1
2002,January-March,Netherlands,1-3  nights,Air,Business,SCOTLAND,3.347572088,1.147960376,5.212846041,3
2002,January-March,Netherlands,4-7  nights,Air,Holiday,SCOTLAND,0.981792986,0.233118996,3.888849974,1
2002,January-March,Netherlands,8-14 nights,Air,Business,SCOTLAND,0.674476027,0.210437,5.395810127,1
2002,January-March,Denmark,4-7  nights,Air,Holiday,SCOTLAND,1.47044003,0.561138988,7.704179764,1
2002,January-March,Denmark,4-7  nights,Air,Business,SCOTLAND,0.76552099,0.728775978,4.593130112,1
2002,January-March,Spain,1-3  nights,Air,Business,SCOTLAND,0.553003013,0.173478007,1.042670012,1
2002,January-March,Spain,1-3  nights,Air,Miscellaneous,SCOTLAND,0.316635013,0.033489201,0.284337014,1
2002,January-March,Spain,1-3  nights,Tunnel,Business,SCOTLAND,2.804310083,0.033755399,5.608610153,1
2002,January-March,Spain,4-7  nights,Air,Holiday,SCOTLAND,0.609834015,0.042374,1.203150034,1
2002,January-March,Spain,4-7  nights,Air,VFR,SCOTLAND,1.160560012,0.582660019,4.52271986,1
2002,January-March,Spain,4-7  nights,Air,Study,SCOTLAND,0.462922007,0.127765998,2.777529955,1
2002,January-March,Spain,8-14 nights,Air,Holiday,SCOTLAND,0.478740007,0.055417702,1.416769981,1
2002,January-March,Spain,8-14 nights,Air,VFR,SCOTLAND,2.643014997,0.325137094,23.82736969,3
2002,January-March,Spain,15+  nights,Air,Business,SCOTLAND,0.646650016,0.433757007,10.97319984,1
2002,January-March,Spain,15+  nights,Air,VFR,SCOTLAND,0.364403009,0.182949007,7.100440025,1
2002,January-March,Spain,15+  nights,Air,Study,SCOTLAND,0.387593001,0.237206995,10.8526001,1
2002,January-March,Spain,15+  nights,Air,Miscellaneous,SCOTLAND,1.247320056,0.131924003,16.80130005,1
2002,January-March,Portugal,4-7  nights,Air,Business,SCOTLAND,0.374233991,0.067595802,2.737489939,1
2002,January-March,Austria,15+  nights,Air,VFR,SCOTLAND,0.325046003,0.31584999,3.013479948,1
2002,January-March,Sweden,1-3  nights,Air,Holiday,SCOTLAND,0.856570989,0.346169993,2.017644048,2
2002,January-March,Sweden,1-3  nights,Air,Business,SCOTLAND,0.222846001,0.039158601,0.217134997,1
2002,January-March,Sweden,4-7  nights,Air,Holiday,SCOTLAND,0.50752002,0.095201097,2.017100096,1
2002,January-March,Sweden,4-7  nights,Air,Business,SCOTLAND,0.188460007,0.077084102,0.918148994,1
2002,January-March,Sweden,4-7  nights,Air,VFR,SCOTLAND,0.172515005,0.045378499,0.860104978,1
2002,January-March,Sweden,15+  nights,Air,VFR,SCOTLAND,1.010319948,0.300669998,11.08170033,1
2002,January-March,Switzerland,1-3  nights,Air,Business,SCOTLAND,2.375479907,0.603034407,4.490287781,2
2002,January-March,Switzerland,1-3  nights,Air,VFR,SCOTLAND,0.666918993,0.068656601,1.970340014,1
2002,January-March,Switzerland,4-7  nights,Air,Holiday,SCOTLAND,2.516880035,0.576366007,5.033760071,1
2002,January-March,Switzerland,8-14 nights,Air,VFR,SCOTLAND,0.666918993,0.460402995,7.881370068,1
2002,January-March,Switzerland,15+  nights,Air,Holiday,SCOTLAND,0.677954972,1.025069952,18.30480003,1
2002,January-March,Norway,4-7  nights,Air,Holiday,SCOTLAND,1.602190018,0.334917992,6.071229935,1
2002,January-March,Hungary,1-3  nights,Air,VFR,SCOTLAND,0.501344979,0.0561506,1.504029989,1
2002,January-March,Russia,4-7  nights,Air,Holiday,SCOTLAND,0.420664996,0.082343899,0.841329992,1
2002,January-March,Russia,4-7  nights,Air,Miscellaneous,SCOTLAND,0.276174992,0.141402006,1.657050014,1
2002,January-March,Russia,8-14 nights,Air,VFR,SCOTLAND,0.601962984,0.0035052,4.131969929,1
2002,January-March,Russia,15+  nights,Air,Holiday,SCOTLAND,0.409485012,0,11.96010017,1
2002,January-March,Other Western Europe,8-14 nights,Air,Holiday,SCOTLAND,0.181275994,0.0225817,2.175309896,1
2002,January-March,Other Western Europe,8-14 nights,Air,Business,SCOTLAND,0.523845017,0.109797999,4.190760136,1
2002,January-March,Other Western Europe,8-14 nights,Air,VFR,SCOTLAND,2.485462964,1.07566601,28.54909039,3
2002,January-March,Other Western Europe,15+  nights,Air,Holiday,SCOTLAND,0.556953013,0.971265018,7.054739952,1
2002,January-March,Other Eastern Europe,4-7  nights,Air,Business,SCOTLAND,0.859614015,0.156318199,5.416889906,2
2002,January-March,USA,1-3  nights,Air,Business,SCOTLAND,1.570725963,0.311625397,2.547068,4
2002,January-March,USA,1-3  nights,Air,VFR,SCOTLAND,1.972609028,0.685949117,5.418991089,4
2002,January-March,USA,1-3  nights,Air,Miscellaneous,SCOTLAND,0.342736006,0.079861,0.334877998,1
2002,January-March,USA,4-7  nights,Air,Holiday,SCOTLAND,4.351457968,1.906271272,23.12933618,10
2002,January-March,USA,4-7  nights,Air,Business,SCOTLAND,4.24492304,2.198091686,15.38710624,9
2002,January-March,USA,4-7  nights,Air,VFR,SCOTLAND,3.06845808,1.31339821,16.56168166,6
2002,January-March,USA,4-7  nights,Air,Miscellaneous,SCOTLAND,0.308537006,0.132514998,1.507320046,1
2002,January-March,USA,4-7  nights,Tunnel,Holiday,SCOTLAND,0.447331011,0.0185034,1.341989994,1
2002,January-March,USA,4-7  nights,Tunnel,Business,SCOTLAND,0.463256001,0.059838898,0.41555199,1
2002,January-March,USA,8-14 nights,Air,Holiday,SCOTLAND,7.245357037,2.20615351,47.52902195,18
2002,January-March,USA,8-14 nights,Air,Business,SCOTLAND,1.69904004,0.714324996,12.75055027,3
2002,January-March,USA,8-14 nights,Air,VFR,SCOTLAND,11.05440921,5.478580073,106.5776908,24
2002,January-March,USA,15+  nights,Air,Holiday,SCOTLAND,2.680841058,2.142250959,37.22517681,6
2002,January-March,USA,15+  nights,Air,Business,SCOTLAND,0.895257011,0.171550995,1.682471007,3
2002,January-March,USA,15+  nights,Air,VFR,SCOTLAND,7.026703164,1.872043769,86.82361656,11
2002,January-March,USA,15+  nights,Air,Miscellaneous,SCOTLAND,0.385567993,0.951909006,111.512001,1
2002,January-March,Canada,4-7  nights,Air,Holiday,SCOTLAND,0.515831009,0.133850297,2.088987052,2
2002,January-March,Canada,4-7  nights,Air,Business,SCOTLAND,0.848875999,0.439493212,1.892106995,3
2002,January-March,Canada,4-7  nights,Air,VFR,SCOTLAND,1.189686,0.066765899,5.930859089,2
2002,January-March,Canada,8-14 nights,Air,Holiday,SCOTLAND,1.003985018,0.261473406,9.050580025,3
2002,January-March,Canada,8-14 nights,Air,VFR,SCOTLAND,1.803580999,0.413833814,13.53788632,6
2002,January-March,Canada,8-14 nights,Air,Miscellaneous,SCOTLAND,0.192835003,0.208667994,2.105770111,1
2002,January-March,Canada,15+  nights,Air,Holiday,SCOTLAND,0.397455007,0.165168002,4.166590214,1
2002,January-March,Canada,15+  nights,Air,Business,SCOTLAND,0.266856998,0.350230008,16.20229912,1
2002,January-March,Canada,15+  nights,Air,VFR,SCOTLAND,4.703744993,2.54985979,142.104059,10
2002,January-March,Mexico,8-14 nights,Air,Miscellaneous,SCOTLAND,0.209368005,0.031332701,0.640847027,1
2002,January-March,Brazil,8-14 nights,Air,Holiday,SCOTLAND,0.347806007,0.316502988,4.869279861,1
2002,January-March,Brazil,15+  nights,Air,Holiday,SCOTLAND,0.223573998,0.0105306,0.447147995,1
2002,January-March,Brazil,15+  nights,Tunnel,Holiday,SCOTLAND,1.106029987,0.037082799,1.03760004,1
2002,January-March,Argentina,15+  nights,Air,Study,SCOTLAND,0.358236015,0.0279424,0.71647203,1
2002,January-March,Other Central & South America,1-3  nights,Air,VFR,SCOTLAND,0.263954014,0.0559582,0.791862011,1
2002,January-March,Other Central & South America,4-7  nights,Air,Business,SCOTLAND,0.301851988,0.038637102,0.301851988,1
2002,January-March,Other Central & South America,15+  nights,Air,VFR,SCOTLAND,0.237718001,0.870396018,2.377180099,1
2002,January-March,Other Central & South America,15+  nights,Air,Study,SCOTLAND,0.177358001,0.228259996,5.852809906,1
2002,January-March,Hong Kong,1-3  nights,Air,VFR,SCOTLAND,0.175979003,0.037307501,0.351958007,1
2002,January-March,Hong Kong,4-7  nights,Air,Holiday,SCOTLAND,0.580882013,0.069494799,1.228350043,1
2002,January-March,Hong Kong,4-7  nights,Air,Business,SCOTLAND,0.194721997,0.099697702,0.973609984,1
2002,January-March,Hong Kong,8-14 nights,Air,Holiday,SCOTLAND,0.221992001,0.066395998,2.112449884,1
2002,January-March,Hong Kong,8-14 nights,Air,VFR,SCOTLAND,0.187746003,0.024406999,0.938730001,1
2002,January-March,Hong Kong,15+  nights,Air,Holiday,SCOTLAND,0.221992001,0.0173319,1.877730012,1
2002,January-March,Hong Kong,15+  nights,Air,Miscellaneous,SCOTLAND,0.194721997,0.391781002,5.646940231,1
2002,January-March,Thailand,4-7  nights,Air,Holiday,SCOTLAND,0.189770997,0.192047998,0.759083986,1
2002,January-March,Singapore,8-14 nights,Air,VFR,SCOTLAND,0.193675995,0.0182485,0.774703979,1
2002,January-March,Taiwan,4-7  nights,Air,VFR,SCOTLAND,0.267935008,0.068591401,0.535870016,1
2002,January-March,China,8-14 nights,Air,Business,SCOTLAND,1.074405968,0.189135306,1.505003989,2
2002,January-March,China,8-14 nights,Air,VFR,SCOTLAND,0.479081005,0.0105214,0.420172989,1
2002,January-March,Other Asia,1-3  nights,Air,Miscellaneous,SCOTLAND,0.281565011,0.00337878,0.563130021,1
2002,January-March,Other Asia,15+  nights,Air,Holiday,SCOTLAND,0.239094004,0.038308099,1.67366004,1
2002,January-March,Japan,4-7  nights,Air,Holiday,SCOTLAND,0.592148989,0.233681291,1.926658988,2
2002,January-March,Japan,4-7  nights,Air,Business,SCOTLAND,0.291022986,0.315212995,1.442119956,1
2002,January-March,Japan,4-7  nights,Air,VFR,SCOTLAND,0.889998019,0.564577997,5.702909946,1
2002,January-March,Japan,8-14 nights,Air,Holiday,SCOTLAND,0.293686002,0.028997,0.630047977,1
2002,January-March,Japan,8-14 nights,Air,VFR,SCOTLAND,0.374074996,0.036095198,0.684854984,1
2002,January-March,Japan,15+  nights,Air,VFR,SCOTLAND,0.889998019,0.193728,12.22049999,1
